underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,open_interest,time_to_maturity
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,200.0,C,0.0,0.0,0.0,0.0,0,2,6673.0,1,6692.9,6852.66,6913.22,35,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,400.0,C,0.0,0.0,0.0,0.0,0,1,6473.3,1,6492.5,6852.66,6913.22,13,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,600.0,C,0.0,0.0,0.0,0.0,0,1,6273.5,1,6294.5,6852.66,6913.22,6,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,800.0,C,0.0,0.0,0.0,0.0,0,2,6074.7,1,6093.2,6852.66,6913.22,9,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,1000.0,C,0.0,0.0,0.0,0.0,0,10,5877.8,10,5892.1,6852.66,6913.22,1101,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,1200.0,C,0.0,0.0,0.0,0.0,0,2,5675.7,1,5694.2,6852.66,6913.22,40,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,1400.0,C,0.0,0.0,0.0,0.0,0,1,5476.2,1,5494.9,6852.66,6913.22,1,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,1600.0,C,0.0,0.0,0.0,0.0,0,2,5277.2,1,5295.4,6852.66,6913.22,23,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,1800.0,C,0.0,0.0,0.0,0.0,0,2,5076.9,1,5096.0,6852.66,6913.22,40,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2000.0,C,0.0,0.0,0.0,0.0,0,17,4880.7,17,4894.9,6852.66,6913.22,5630,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2200.0,C,0.0,0.0,0.0,0.0,0,2,4678.6,1,4698.5,6852.66,6913.22,8,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2400.0,C,0.0,0.0,0.0,0.0,0,2,4479.2,1,4497.7,6852.66,6913.22,0,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2500.0,C,0.0,0.0,0.0,0.0,0,2,4379.4,1,4398.0,6852.66,6913.22,3,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2600.0,C,0.0,0.0,0.0,0.0,0,1,4279.2,1,4298.3,6852.66,6913.22,11,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2700.0,C,0.0,0.0,0.0,0.0,0,3,4179.5,1,4198.6,6852.66,6913.22,0,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2800.0,C,0.0,0.0,0.0,0.0,0,1,4079.7,1,4098.9,6852.66,6913.22,1,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,2900.0,C,0.0,0.0,0.0,0.0,0,1,3980.0,1,3999.2,6852.66,6913.22,31,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3000.0,C,0.0,0.0,0.0,0.0,0,7,3884.0,7,3897.4,6852.66,6913.22,4283,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3100.0,C,0.0,0.0,0.0,0.0,0,2,3782.8,1,3799.8,6852.66,6913.22,2,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3200.0,C,0.0,0.0,0.0,0.0,0,1,3680.9,1,3700.1,6852.66,6913.22,6,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3300.0,C,0.0,0.0,0.0,0.0,0,2,3582.9,1,3600.4,6852.66,6913.22,5,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3400.0,C,0.0,0.0,0.0,0.0,0,1,3481.5,1,3500.7,6852.66,6913.22,362,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3500.0,C,0.0,0.0,0.0,0.0,0,10,3385.0,10,3399.3,6852.66,6913.22,1705,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3550.0,C,0.0,0.0,0.0,0.0,0,10,3335.2,10,3349.5,6852.66,6913.22,850,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3600.0,C,0.0,0.0,0.0,0.0,0,1,3282.1,1,3301.8,6852.66,6913.22,0,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3650.0,C,0.0,0.0,0.0,0.0,0,2,3233.2,1,3251.5,6852.66,6913.22,0,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3700.0,C,0.0,0.0,0.0,0.0,0,1,3183.0,1,3202.1,6852.66,6913.22,1,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3750.0,C,0.0,0.0,0.0,0.0,0,2,3133.3,1,3153.6,6852.66,6913.22,0,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3800.0,C,0.0,0.0,0.0,0.0,0,2,3083.4,1,3101.9,6852.66,6913.22,202,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3850.0,C,0.0,0.0,0.0,0.0,0,1,3032.9,1,3052.1,6852.66,6913.22,53,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3900.0,C,0.0,0.0,0.0,0.0,0,1,2983.0,1,3002.3,6852.66,6913.22,1,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,3950.0,C,0.0,0.0,0.0,0.0,0,10,2936.5,10,2950.7,6852.66,6913.22,1701,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,4000.0,C,2899.25,2899.25,2899.25,2899.25,9,7,2888.1,7,2899.5,6852.66,6913.22,12236,0.06301369863013699
^SPX,2026-02-24 16:15:00,SPX,2026-03-20,4050.0,C,0.0,0.0,0.0,0.0,0,10,2836.8,10,2851.1,6852.66,6913.22,1700,0.06301369863013699
